keyword,priority,grupo_categoria,categoria,subcategoria,entity_name
keyword,priority,grupo_categoria,categoria,subcategoria,entity_name
BONOS COMERCIO,50,Gastos Variables,Compras,Compras Online (Genérico),Bonos Comercio
BONOSBORRIANA,50,Gastos Variables,Compras,Compras Online (Genérico),Bonosborriana
BONOS COMERCIO,50,Gastos Variables,Compras,Compras Online (Genérico),Bonos Comercio
VALENCIA,50,Gastos Variables,Otros,Varios,Valencia
BALANCE MIGRATION TO ANOTHER REGION OR LEGAL ENTITY,50,Movimientos Operativos,Comisiones Bancarias,Cambio Divisa y Redes,Balance Migration To Another Region Or Legal Entity
BUDAPESTI KÖZLEKEDÉSI KÖZPONT - BKK,50,Gastos Variables,Transporte,Transporte Público,Budapesti Közlekedési Központ - Bkk
CAFE CUPIDO,50,Gastos Variables,Ocio y Restauración,Cafeterías,Cafe Cupido
CASTELLON,50,Gastos Variables,Otros,Varios,Castellon
CC SALERA L 23,50,Gastos Variables,Compras,Grandes Almacenes,Cc Salera L 23
CASTELLON,50,Gastos Variables,Otros,Varios,Castellon
CORP ALIM GUISSONA T496,50,Gastos Fijos,Alimentación,Supermercado,Corp Alim Guissona T496
CASTELLON DE,50,Gastos Variables,Otros,Varios,Castellon De
EMBOTITS CASOLANS DE PLAN,50,Gastos Fijos,Alimentación,Mercado/Tienda local,Embotits Casolans De Plan
PLANOLES,50,Gastos Variables,Otros,Varios,Planoles
EUROMID LEVANTE,50,Gastos Variables,Otros,Varios,Euromid Levante
S.L,50,Gastos Variables,Otros,Varios,S.L
ALCORA,50,Gastos Variables,Otros,Varios,Alcora
FITZKEY KURTOSKALACS,50,Gastos Variables,Ocio y Restauración,Cafeterías,Fitzkey Kurtoskalacs
HELADOS LA JIJONENCA,50,Gastos Variables,Ocio y Restauración,Heladerías y Horchaterías,Helados La Jijonenca
CASTELLON DE,50,Gastos Variables,Otros,Varios,Castellon De
HELOPAY*SZIMPLA KERT,50,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Helopay*szimpla Kert
IL TONA PIZZERIA,50,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Il Tona Pizzeria
CASTELLON,50,Gastos Variables,Otros,Varios,Castellon
KIOSKO LUCIA,50,Gastos Variables,Ocio y Restauración,Cafeterías,Kiosko Lucia
CASTELLON,50,Gastos Variables,Otros,Varios,Castellon
KAFFELANDIA,50,Gastos Variables,Ocio y Restauración,Cafeterías,Kaffelandia
LA BICICLETA CAFE,50,Gastos Variables,Ocio y Restauración,Cafeterías,La Bicicleta Cafe
CASTELLON,50,Gastos Variables,Otros,Varios,Castellon
LE PETIT CAFE,50,Gastos Variables,Ocio y Restauración,Cafeterías,Le Petit Cafe
CASTELLON,50,Gastos Variables,Otros,Varios,Castellon
MAÑEKO COOP MALLABIA,50,Gastos Fijos,Alimentación,Supermercado,Mañeko Coop Mallabia
CASTRO URDIAL,50,Gastos Variables,Otros,Varios,Castro Urdial
MYSWEET,50,Gastos Variables,Ocio y Restauración,Cafeterías,Mysweet
CASTELLON,50,Gastos Variables,Otros,Varios,Castellon
NECO BUFFET ALFAFAR,50,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Neco Buffet Alfafar
