keyword,priority,grupo_categoria,categoria,subcategoria,entity_name
A.E.A.T. DEVOLUCIONES,10,Ingresos,Devoluciones,Hacienda,Agencia Tributaria
ABRACADABRA,10,Gastos Variables,Compras,Juguetes y Juegos,Abracadabra
ABSENTIA,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Absentia Coctel Bar
ADRIVI,10,Gastos Variables,Compras,Ropa y Accesorios,Adrivi
AEROPORTO,10,Gastos Variables,Viajes,Gastos en Destino,Aeropuerto
AIRBNB,10,Gastos Variables,Viajes,Alojamiento,Airbnb
ALCAMPO,10,Gastos Fijos,Alimentación,Supermercado,Alcampo
ALDI,10,Gastos Fijos,Alimentación,Supermercado,Aldi
ALIEXPRESS,10,Gastos Variables,Compras,Marketplace,AliExpress
ALIPAY,10,Gastos Variables,Compras,Marketplace,AliExpress
AMAZON,20,Gastos Variables,Compras,Marketplace,Amazon
AMAZON PRIME,10,Gastos Fijos,Suscripciones,Streaming,Amazon Prime
AMC,10,Gastos Variables,Compras,Deportes,AMC
AMZN,20,Gastos Variables,Compras,Marketplace,Amazon
AROMAS,10,Gastos Variables,Ocio y Restauración,Cafeterías,Cafetería Aromas
ARRE,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Arre
ARVOBILBAO,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Arvo Bilbao
ASUABERRI GARELLANO,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Asuaberri
AUDITORIO VALL D UIXO,10,Gastos Variables,Ocio y Restauración,Cultura y Espectáculos,Auditorio Vall D'Uixo
AYUNTAMIENTO DE CASTELL,20,Ingresos,Devoluciones,Fianzas,Ayuntamiento de Castellón
AYUNTAMIENTO DE CASTELLON,10,Gastos Fijos,Impuestos y Tasas,Vivienda (IBI/Basuras),Ayuntamiento de Castellón
BABEL,10,Gastos Variables,Compras,Libros y Papelería,Babel
BAKELITO,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Bakelito
BALUARD,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Baluard
BAR AMO,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Bar Amo
BAR ROCA,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Bar Roca
BAR SAURA,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Bar Saura
BASE TECHNOLOGY,10,Ingresos,Nómina,Salario Base,Basetis
BAZAR NUEVO CONTINENTE,10,Gastos Variables,Compras,Bazares y Multiprecio,Bazar Nuevo Continente
BAZAR MORELLA,10,Gastos Variables,Compras,Bazares y Multiprecio,Bazar Morella
BELLA CIAO,10,Gastos Variables,Ocio y Restauración,Restaurantes y Bares,Bella Ciao
BINANCE,10,Ahorro e Inversión,Inversión,Criptomonedas,Binance
BIZKAIBUS,10,Gastos Variables,Transporte,Transporte Público,Bizkaibus
